id,type,name,price,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10,cost_11,cost_12,cost_13,cost_14,cost_15,service_1_interval_days,service_2_interval_days,service_3_interval_days,service_4_interval_days,service_5_interval_days,service_6_interval_days,service_7_interval_days,service_8_interval_days,service_9_interval_days,service_10_interval_days,service_11_interval_days,service_12_interval_days,service_13_interval_days,service_14_interval_days,service_15_interval_days,resale_initial_percent,resale_annual_percent,resale_min_percent,description_html,license_level,license_previous_id,requires_object_ids,license_fee,lifetime_days,availability_days,image_path,requirement_group,paddock_cred_bonus
alfa_mito,vehicle,Hot Hatch Cup - Alfa Romeo MiTo,46500,hhcup_tires,hhcup_oil,hhcup_engine,hhcup_gearbox,hhcup_insurance,car_hot_hatch_brakes,car_hot_hatch_cosmetic,car_hot_hatch_bolt_on,car_hot_hatch_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_mito.html,0,,,,0,5,,,0
citroen_ds3,vehicle,Hot Hatch Cup - Citroën DS3,46500,hhcup_tires,hhcup_oil,hhcup_engine,hhcup_gearbox,hhcup_insurance,car_hot_hatch_brakes,car_hot_hatch_cosmetic,car_hot_hatch_bolt_on,car_hot_hatch_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_citroen_ds3.html,0,,,,0,5,,,0
ford_fiesta,vehicle,Hot Hatch Cup - Ford Fiesta,46500,hhcup_tires,hhcup_oil,hhcup_engine,hhcup_gearbox,hhcup_insurance,car_hot_hatch_brakes,car_hot_hatch_cosmetic,car_hot_hatch_bolt_on,car_hot_hatch_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_fiesta.html,0,,,,0,5,,,0
seat_ibiza,vehicle,Hot Hatch Cup – Seat Ibiza,46500,hhcup_tires,hhcup_oil,hhcup_engine,hhcup_gearbox,hhcup_insurance,car_hot_hatch_brakes,car_hot_hatch_cosmetic,car_hot_hatch_bolt_on,car_hot_hatch_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_ibiza.html,0,,,,0,5,,,0
vauxhall_corsa,vehicle,Hot Hatch Cup - Vauxhall Corsa,46500,hhcup_tires,hhcup_oil,hhcup_engine,hhcup_gearbox,hhcup_insurance,car_hot_hatch_brakes,car_hot_hatch_cosmetic,car_hot_hatch_bolt_on,car_hot_hatch_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_corsa.html,0,,,,0,5,,,0
peugeot_207,vehicle,Hot Hatch Cup - Peugeot 207,46500,hhcup_tires,hhcup_oil,hhcup_engine,hhcup_gearbox,hhcup_insurance,car_hot_hatch_brakes,car_hot_hatch_cosmetic,car_hot_hatch_bolt_on,car_hot_hatch_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_207.html,0,,,,0,5,,,0
toyota_yaris,vehicle,Hot Hatch Cup - Toyota Yaris,46500,hhcup_tires,hhcup_oil,hhcup_engine,hhcup_gearbox,hhcup_insurance,car_hot_hatch_brakes,car_hot_hatch_cosmetic,car_hot_hatch_bolt_on,car_hot_hatch_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_yaris.html,0,,,,0,5,,,0
renault_clio,vehicle,Hot Hatch Cup - Renault Clio,46500,hhcup_tires,hhcup_oil,hhcup_engine,hhcup_gearbox,hhcup_insurance,car_hot_hatch_brakes,car_hot_hatch_cosmetic,car_hot_hatch_bolt_on,car_hot_hatch_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_clio.html,0,,,,0,5,,,0
hhcup_300_giulietta,vehicle,Hot Hatch Cup 300 - Alfa Romeo Giulietta,65100,hhcup_300_tires,hhcup_300_oil,hhcup_300_engine,hhcup_300_gearbox,hhcup_300_insurance,car_hot_hatch_300_brakes,car_hot_hatch_300_cosmetic,car_hot_hatch_300_bolt_on,car_hot_hatch_300_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_300_giulietta.html,0,,,,0,5,,,0
hhcup_300_punto,vehicle,Hot Hatch Cup 300 - Fiat Punto,65100,hhcup_300_tires,hhcup_300_oil,hhcup_300_engine,hhcup_300_gearbox,hhcup_300_insurance,car_hot_hatch_300_brakes,car_hot_hatch_300_cosmetic,car_hot_hatch_300_bolt_on,car_hot_hatch_300_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_300_punto.html,0,,,,0,5,,,0
hhcup_300_focus,vehicle,Hot Hatch Cup 300 - Ford Focus,65100,hhcup_300_tires,hhcup_300_oil,hhcup_300_engine,hhcup_300_gearbox,hhcup_300_insurance,car_hot_hatch_300_brakes,car_hot_hatch_300_cosmetic,car_hot_hatch_300_bolt_on,car_hot_hatch_300_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_300_focus.html,0,,,,0,5,,,0
hhcup_300_mazda_3,vehicle,Hot Hatch Cup 300 – Mazda3,65100,hhcup_300_tires,hhcup_300_oil,hhcup_300_engine,hhcup_300_gearbox,hhcup_300_insurance,car_hot_hatch_300_brakes,car_hot_hatch_300_cosmetic,car_hot_hatch_300_bolt_on,car_hot_hatch_300_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_300_mazda_3.html,0,,,,0,5,,,0
hhcup_300_megane,vehicle,Hot Hatch Cup 300 - Renault Mégane,65100,hhcup_300_tires,hhcup_300_oil,hhcup_300_engine,hhcup_300_gearbox,hhcup_300_insurance,car_hot_hatch_300_brakes,car_hot_hatch_300_cosmetic,car_hot_hatch_300_bolt_on,car_hot_hatch_300_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_300_megane.html,0,,,,0,5,,,0
hhcup_300_golf,vehicle,Hot Hatch Cup 300 - Volkswagen Golf,65100,hhcup_300_tires,hhcup_300_oil,hhcup_300_engine,hhcup_300_gearbox,hhcup_300_insurance,car_hot_hatch_300_brakes,car_hot_hatch_300_cosmetic,car_hot_hatch_300_bolt_on,car_hot_hatch_300_factory,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/hhcup_300_golf.html,0,,,,0,5,,,0
helmet,equipment,Generic Helmet,250,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,2000,,,helmet,0
tracksuit,equipment,Tracksuit,300,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,2000,,,tracksuit,0
gloves,equipment,Generic Gloves,150,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,1000,,,gloves,0
shoes,equipment,Generic Race Boots,180,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,1000,,,race_boots,0
license_basic,license,Basic Racing Licence,500,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,1,,helmet;tracksuit;gloves;shoes,500,0,,,,0
license_advanced,license,Advanced Racing Licence,1200,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,2,license_basic,,1200,0,,,,0
sponsored_gloves,equipment,Sponsored Gloves,500,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,2500,,,gloves,0
sponsored_shoes,equipment,Sponsored Shoes,600,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,2500,,,race_boots,0
sponsored_track_suit,equipment,Sponsored Track Suit,900,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,3000,,,tracksuit,0
arai_gp6_carbon,equipment,Arai GP-6 Carbon,1800,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,2000,,,helmet,5
bell_rs7_pro,equipment,Bell RS7 Pro,650,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,2000,,,helmet,1
alpinestars_tech1_race_v3,equipment,Alpinestars Tech-1 Race v3 Gloves,700,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,2000,,,gloves,1
sparco_rg7,equipment,Sparco RG-7 Race Boots,900,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,2000,,,race_boots,5
omp_first_s,equipment,OMP First-S Race Boots,420,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,2000,,,race_boots,1
sparco_prime_r,equipment,Sparco Prime-R Racing Suit,1100,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,2000,,,tracksuit,5
trophy_formula_ford,achievements,Formula Ford Trophy,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,0,,,,0
trophies,achievements,Trophies,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,0,,,,0
business_proposal,equipment,Business Proposal,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,0,,,,0
lower_cost,equipment,Lower Cost Offer,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,./html/object.html,0,,,,0,,,,0
